"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 4:42:38 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19165","False","False","5/10/2023 12:57:13 PM","5/3/2026 3:05:49 AM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","open-source language:Python stars:>=50"
"stitionai/devika","https://github.com/stitionai/devika","stitionai","Python","19505","False","False","3/21/2024 3:03:21 AM","5/2/2026 9:42:56 PM","Devika is the first open-source implementation of an Agentic Software Engineer. Initially started as an open-source alternative to Devin.","","open-source language:Python stars:>=50"
"RozhakDev/PyInstaCrack","https://github.com/RozhakDev/PyInstaCrack","RozhakDev","Python","155","False","False","4/5/2023 1:29:42 AM","4/11/2026 9:31:17 AM","PyInstaCrack: Ultimate Instagram hacking suite. Python-driven, AI-enhanced, brute-force chaos. Stealth ops, ethical only. Slice through defenses like a cyber god! ☠️","ai-security;cybersecurity;ethical-hacking;hacking;instagram-bruteforce;penetration-testing;python;stealth-hacking;termux","topic:ai-security language:Python stars:>=50"
"jay-johnson/train-ai-with-django-swagger-jwt","https://github.com/jay-johnson/train-ai-with-django-swagger-jwt","jay-johnson","Python","69","False","False","2/3/2018 8:39:46 AM","4/10/2026 7:11:13 PM","Train AI (Keras + Tensorflow) to defend apps with Django REST Framework + Celery + Swagger + JWT - deploys to Kubernetes and OpenShift Container Platform","ai;ai-security;anti-nex;celery;celery-tasks;deep-neural-networks;django-rest-framework;drf;jwt;keras;machine-learning;machine-learning-security;network-analysis;network-security;openshift;rest-api;swagger;tensorflow","topic:ai-security language:Python stars:>=50"
"kivy/kivy","https://github.com/kivy/kivy","kivy","Python","18926","False","False","11/3/2010 8:27:32 PM","5/2/2026 1:46:35 PM","Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS","android;app;ios;kivy;linux;macos;python;ui;windows","open-source language:Python stars:>=50"
"home-assistant/core","https://github.com/home-assistant/core","home-assistant","Python","86898","False","False","9/17/2013 7:29:48 AM","5/3/2026 4:50:17 AM",":house_with_garden: Open source home automation that puts local control and privacy first.","asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi","open-source language:Python stars:>=50"
"romovpa/claudini","https://github.com/romovpa/claudini","romovpa","Python","207","False","False","3/24/2026 9:45:24 AM","4/29/2026 1:20:01 PM","Autoresearch for LLM adversarial attacks","ai-safety;ai-security;autoresearch;jailbreak;prompt-injection","topic:ai-security language:Python stars:>=50"
"aisa-group/skill-inject","https://github.com/aisa-group/skill-inject","aisa-group","Python","64","False","False","2/22/2026 4:52:05 PM","4/29/2026 1:43:28 AM","Skill-Inject: Measuring Agent Vulnerability to Skill File Attacks","agent-skills;ai-safety;ai-security;cli-agents","topic:ai-security language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172192","False","False","1/18/2026 12:51:51 AM","5/3/2026 5:01:08 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139906","False","False","4/12/2023 7:40:24 AM","5/3/2026 4:47:44 AM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"guardzcom/security-research-labs","https://github.com/guardzcom/security-research-labs","guardzcom","Python","142","False","False","7/24/2025 9:01:23 AM","5/1/2026 12:57:48 PM","Security tools for purple team, AI security, and M365/GWS. Authorized use only.","ai-sec;ai-security;cloud-security;endpoint-security;entra-id;googleworkspace;identity-security;microsoft-security;microsoft365;msp;purple-team;security;sentinelone;smbs","topic:ai-security language:Python stars:>=50"
