"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"leaonline/easy-speech","https://github.com/leaonline/easy-speech","leaonline","JavaScript","262","False","False","11/26/2021 11:46:09 AM","4/20/2026 5:28:05 AM","🔊 Cross browser Speech Synthesis also known as Text to speech or TTS; no dependencies; uses Web Speech API","browser;cross-browser;hacktoberfest;hacktoberfest-accepted;javascript;js;speech-synthesis;standards;text-to-speech;tts;web;web-speech-api","text-to-speech language:JavaScript stars:>=50"
"QuantiusBenignus/blurt","https://github.com/QuantiusBenignus/blurt","QuantiusBenignus","JavaScript","106","False","False","1/27/2024 12:50:07 AM","4/26/2026 3:38:24 PM","Gnome shell extension for accurate OFFLINE speech to text input in Linux using whisper.cpp. Input text from speech anywhere.","ai;asr;bloat-free;dictate;dictation;gnome;gnome-extension;gnome-shell-extension;input;input-method;kiss;linux;machine-learning;speech-recognition;speech-to-text;whisper;whisper-cpp","text-to-speech language:JavaScript stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160181","False","False","10/29/2018 1:56:00 PM","5/2/2026 6:13:27 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
"OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72513","False","False","3/13/2024 3:33:31 AM","5/2/2026 6:16:06 PM","🙌 OpenHands: AI-Driven Development","agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai","topic:llm stars:>=100"
"FaustoNisida/Chatbot-Long-Short-Term-Memory","https://github.com/FaustoNisida/Chatbot-Long-Short-Term-Memory","FaustoNisida","JavaScript","164","False","False","3/1/2023 11:56:24 AM","4/9/2026 4:38:13 PM","GPT-3 Chatbot with Long and Short Term Memory and advanced logic built in javascript with openai API - short and long memory, KYC, embeddings, openai, database, flexible, gpt-3.5-turbo, react","ai;artificial-intelligence;chatbot;databases;embeddings;gpt-3-5-turbo;javascript;long-short-term-memory;memory;openai;openai-api;programming;react","topic:embeddings language:JavaScript stars:>=50"
"mailcow/mailcow-dockerized","https://github.com/mailcow/mailcow-dockerized","mailcow","JavaScript","12672","False","False","12/9/2016 7:38:35 PM","5/2/2026 4:57:05 PM","mailcow: dockerized - 🐮 + 🐋 = 💕","acme;clamav;docker;docker-compose;dovecot;groupware;hacktoberfest;imap;mail;mailcow;mailserver;olefy;postfix;rspamd;servercow;smtp;sogo","d language:JavaScript stars:>=50"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50761","False","False","4/5/2026 1:12:07 AM","5/2/2026 5:28:48 PM","The best-benchmarked open-source AI memory system. And it's free.","ai;chromadb;llm;mcp;memory;python","topic:llm stars:>=100"
"docmirror/dev-sidecar","https://github.com/docmirror/dev-sidecar","docmirror","JavaScript","22033","False","False","9/29/2020 10:38:20 AM","5/2/2026 3:21:25 PM","开发者边车，github打不开，github加速，git clone加速，git release下载加速，stackoverflow加速","dev-sidecar;dns-ip;electron;fastgit;fastgithub;gfw;internet;mitmproxy;pnpm;proxy","d language:JavaScript stars:>=50"
"HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","41521","False","False","2/1/2026 7:16:15 AM","5/2/2026 6:18:05 PM","""🐈 nanobot: The Ultra-Lightweight Personal AI Agent""","ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;codex;llm;nanobot;openai;openclaw","topic:llm stars:>=100"
"motdotla/dotenv","https://github.com/motdotla/dotenv","motdotla","JavaScript","20409","False","False","7/5/2013 6:25:05 PM","5/2/2026 1:23:42 PM","Loads environment variables from .env for nodejs projects.","configuration-file;dotenv;env;environment-variables;javascript;node;nodejs;secret-management;secret-manager;secrets;security-tools","d language:JavaScript stars:>=50"
