"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","Tencent/AI-Infra-Guard","https://github.com/Tencent/AI-Infra-Guard","Tencent","Python","3612","llm","1","979.33","True","0.125","0.087","1","0.916","1","1","0.3333","topic:ai-security language:Python stars:>=50","A full-stack AI Red Teaming platform securing AI ecosystems via OpenClaw Security Scan, Agent Scan, Skills Scan, MCP scan, AI Infra scan and LLM jailbreak evaluation."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","truera/trulens","https://github.com/truera/trulens","truera","Python","3286","llm","2","945.17","True","0.1538","0","1","0.8955","1","1","0.3333","topic:agent-evaluation language:Python stars:>=50","Evaluation and Tracking for LLM Experiments and AI Agents"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","msoedov/agentic_security","https://github.com/msoedov/agentic_security","msoedov","Python","1860","llm","3","927.95","True","0.1071","0.0714","1","0.772","1","1","0.3333","topic:ai-red-team language:Python stars:>=50","Agentic LLM Vulnerability Scanner / AI red teaming kit 🧪"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","splx-ai/agentic-radar","https://github.com/splx-ai/agentic-radar","splx-ai","Python","960","llm","4","899.98","False","0.1","0.0769","1","0.6284","1","1","0.3333","topic:ai-security language:Python stars:>=50","A security scanner for your LLM agentic workflows"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19165","llm","5","876.29","False","0.1111","0","1","0.7216","1","1","0.3333","open-source language:Python stars:>=50","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","datawhalechina/hello-agents","https://github.com/datawhalechina/hello-agents","datawhalechina","Python","42250","llm","6","872.5","False","0.05","0.125","1","0.55","1","1","0.3333","topic:llm stars:>=100","📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","utkusen/promptmap","https://github.com/utkusen/promptmap","utkusen","Python","1184","llm","7","849.76","False","0.0909","0","1","0.6739","1","1","0.3333","topic:ai-security language:Python stars:>=50","a security scanner for custom LLM applications"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","llm","8","849.53","False","0.0938","0","1","0.658","1","1","0.3333","open-source language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33727","llm","9","844.98","False","0.04","0.0833","1","0.5989","1","1","0.3333","topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","LLAMATOR-Core/llamator","https://github.com/LLAMATOR-Core/llamator","LLAMATOR-Core","Python","208","llm","10","842.63","False","0.1562","0","1","0.2972","1","1","0.3333","topic:ai-security language:Python stars:>=50","Red Teaming python-framework for testing chatbots and GenAI systems."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","TransformerOptimus","Python","17500","llm","11","839.74","False","0.0667","0","1","0.7414","1","1","0.3333","open-source language:Python stars:>=50","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50796","llm","12","830.16","False","0.0455","0","1","0.51","1","1","0.6667","open-source language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","mbrg/power-pwn","https://github.com/mbrg/power-pwn","mbrg","Python","1151","llm","13","830.1","False","0.0278","0.0588","1","0.6678","1","1","0.3333","topic:ai-red-team language:Python stars:>=50","An offensive/defense security toolset for discovery, recon and ethical assessment of AI Agents"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","Alibaba-NLP/DeepResearch","https://github.com/Alibaba-NLP/DeepResearch","Alibaba-NLP","Python","18782","llm","14","813.06","False","0.04","0","1","0.726","1","1","0.3333","open-source language:Python stars:>=50","Tongyi Deep Research, the Leading Open-source Deep Research Agent"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","eosphoros-ai/DB-GPT","https://github.com/eosphoros-ai/DB-GPT","eosphoros-ai","Python","18650","llm","15","809.47","False","0.0357","0","1","0.7276","1","1","0.3333","open-source language:Python stars:>=50","open-source agentic AI data assistant for the next generation of AI + Data products."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","usestrix/strix","https://github.com/usestrix/strix","usestrix","Python","24781","llm","16","807.43","False","0.0455","0","1","0.6658","1","1","0.3333","open-source language:Python stars:>=50","Open-source AI hackers to find and fix your app’s vulnerabilities."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","llm","17","806.28","False","0.0278","0.0476","1","0.5733","1","1","0.3333","topic:llm stars:>=100","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","normster/llm_rules","https://github.com/normster/llm_rules","normster","Python","249","llm","18","806.18","False","0.0526","0.0769","1","0.3361","1","1","0.3333","topic:ai-security language:Python stars:>=50","RuLES: a benchmark for evaluating rule-following in language models"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","BerriAI/litellm","https://github.com/BerriAI/litellm","BerriAI","Python","45513","llm","19","805.49","False","0.069","0","1","0.5338","1","1","0.3333","topic:llm stars:>=100","Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","seojoonkim/prompt-guard","https://github.com/seojoonkim/prompt-guard","seojoonkim","Python","150","llm","20","804.02","False","0.087","0.0556","1","0.2266","1","1","0.3333","topic:ai-security language:Python stars:>=50","Advanced prompt injection defense system for AI agents. Multi-language detection, severity scoring, and security auditing."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","google/adk-python","https://github.com/google/adk-python","google","Python","19403","llm","21","803.94","False","0.0312","0","1","0.719","1","1","0.3333","open-source language:Python stars:>=50","An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","1Panel-dev/MaxKB","https://github.com/1Panel-dev/MaxKB","1Panel-dev","Python","20871","llm","22","803.05","False","0.0333","0","1","0.7031","1","1","0.3333","open-source language:Python stars:>=50","🔥 MaxKB is an open-source platform for building enterprise-grade agents.  强大易用的开源企业级智能体平台。"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","kereva-dev/kereva-scanner","https://github.com/kereva-dev/kereva-scanner","kereva-dev","Python","78","llm","23","802.53","False","0.125","0.0769","1","0.0859","0.8","1","0.3333","topic:ai-security language:Python stars:>=50","Code scanner to check for issues in prompts and LLM calls"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","volcengine/OpenViking","https://github.com/volcengine/OpenViking","volcengine","Python","23368","llm","24","799.79","False","0.0345","0","1","0.6786","1","1","0.3333","open-source language:Python stars:>=50","OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","getagentseal/agentseal","https://github.com/getagentseal/agentseal","getagentseal","Python","235","llm","25","796.62","False","0.1","0","1","0.3235","1","1","0.3333","topic:ai-security language:Python stars:>=50","Security toolkit for AI agents. Scan your machine for dangerous skills and MCP configs, monitor for supply chain attacks, test prompt injection resistance, and audit live MCP servers for tool poisoning."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","browser-use/browser-use","https://github.com/browser-use/browser-use","browser-use","Python","91747","llm","26","796.54","False","0.0435","0.0625","1","0.3816","1","1","0.3333","topic:llm stars:>=100","🌐 Make websites accessible for AI agents. Automate tasks online with ease."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","ifixai-ai/diagnostic","https://github.com/ifixai-ai/diagnostic","ifixai-ai","Python","135","llm","27","794.77","False","0.1212","0","1","0.2039","1","1","0.3333","topic:agent-evaluation language:Python stars:>=50","iFixAi. The open-source diagnostic for AI misalignment. 32 tests across fabrication, manipulation, deception, unpredictability, and opacity. Provider-agnostic. Runs against OpenAI, Anthropic, Bedrock, Azure, Gemini, and more. Letter grade in under 5 minutes, content-addressed manifest for bit-identical replay. Powered by iMe."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","HeadyZhang/agent-audit","https://github.com/HeadyZhang/agent-audit","HeadyZhang","Python","161","llm","28","791.7","False","0.0606","0.069","1","0.2418","1","1","0.3333","topic:ai-security language:Python stars:>=50","Static security scanner for LLM agents — prompt injection, MCP config auditing, taint analysis. 49 rules mapped to OWASP Agentic Top 10 (2026). Works with LangChain, CrewAI, AutoGen."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","onyx-dot-app/onyx","https://github.com/onyx-dot-app/onyx","onyx-dot-app","Python","28872","llm","29","790.72","False","0.0333","0","1","0.6327","1","1","0.3333","open-source language:Python stars:>=50","Open Source AI Platform - AI Chat with advanced features that works with every LLM"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34681","llm","30","789.75","False","0.04","0","1","0.5929","1","1","0.3333","topic:llm stars:>=100","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","hidai25/eval-view","https://github.com/hidai25/eval-view","hidai25","Python","97","llm","0","789.67","False","0.0606","0.0952","1","0.1327","1","1","0.3333","topic:agent-evaluation language:Python stars:>=50","Regression testing for AI agents. Snapshot behavior,diff tool calls,catch regressions in CI. Works with LangGraph, CrewAI, OpenAI, Anthropic."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","google/langextract","https://github.com/google/langextract","google","Python","36356","llm","0","785.29","False","0.037","0","1","0.5826","1","1","0.3333","topic:llm stars:>=100","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization."
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","langchain-ai","Python","31066","llm","0","784.4","False","0.0294","0","1","0.6168","1","1","0.3333","open-source language:Python stars:>=50","Build resilient language agents as graphs."
