"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"chaoyu1999/FPSAutomaticAiming","https://github.com/chaoyu1999/FPSAutomaticAiming","chaoyu1999","Python","503","False","False","8/26/2021 2:26:07 PM","4/28/2026 7:15:11 AM","基于yolov5的FPS游戏AI。","python;yolov5s","yolov5 language:Python stars:>=50"
"tgalal/yowsup","https://github.com/tgalal/yowsup","tgalal","Python","7169","False","False","11/3/2012 7:00:14 PM","4/29/2026 7:24:25 PM","The WhatsApp lib","","y language:Python stars:>=50"
"lucasjinreal/yolov7_d2","https://github.com/lucasjinreal/yolov7_d2","lucasjinreal","Python","3111","False","False","6/23/2021 11:35:35 AM","4/29/2026 8:50:41 PM","🔥🔥🔥🔥 (Earlier YOLOv7 not official one) YOLO with Transformers and Instance Segmentation, with TensorRT acceleration! 🔥🔥🔥","detection;detextron2;detr;face;instance-segmentation;object-detection;onnx;tensorrt;transformers;yolo;yolov6;yolov7;yolox","y language:Python stars:>=50"
"microsoft/AI-For-Beginners","https://github.com/microsoft/AI-For-Beginners","microsoft","Jupyter Notebook","47148","False","False","3/3/2021 4:27:36 PM","5/3/2026 5:46:05 PM","12 Weeks, 24 Lessons, AI for All!","ai;artificial-intelligence;cnn;computer-vision;deep-learning;gan;machine-learning;microsoft-for-beginners;nlp;rnn","topic:deep-learning stars:>=100"
"tinyvision/DAMO-YOLO","https://github.com/tinyvision/DAMO-YOLO","tinyvision","Python","3162","False","False","11/27/2022 2:22:54 PM","4/29/2026 12:20:23 PM","DAMO-YOLO: a fast and accurate object detection method with some new techs, including NAS backbones, efficient RepGFPN, ZeroHead, AlignedOTA, and distillation enhancement.","damo-yolo;deep-learning;imagenet;nas;object-detection;onnx;pytorch;tensorrt;yolo;yolov5","yolov5 language:Python stars:>=50 | y language:Python stars:>=50"
"net00-1/SW-DLT","https://github.com/net00-1/SW-DLT","net00-1","Python","833","False","False","10/6/2020 12:42:50 AM","5/2/2026 8:33:20 AM","SW-DLT: a front end iOS Shortcut for yt-dlp & gallery-dl.","ios;python","topic:ios language:Python stars:>=50"
"kivy/kivy","https://github.com/kivy/kivy","kivy","Python","18926","False","False","11/3/2010 8:27:32 PM","5/3/2026 4:17:52 PM","Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS","android;app;ios;kivy;linux;macos;python;ui;windows","topic:ios language:Python stars:>=50"
"PeterH0323/Smart_Construction","https://github.com/PeterH0323/Smart_Construction","PeterH0323","Python","2597","False","False","7/22/2020 4:01:05 PM","4/29/2026 9:00:19 AM","Base on YOLOv5 Head Person Helmet Detection on Construction Sites，基于目标检测工地安全帽和禁入危险区域识别系统，🚀😆附 YOLOv5 训练自己的数据集超详细教程🚀😆2021.3新增可视化界面❗❗","detection;helmet;object-detection;python;pytorch;yolo;yolov5","yolov5 language:Python stars:>=50"
"smileboywtu/MillionHeroAssistant","https://github.com/smileboywtu/MillionHeroAssistant","smileboywtu","Python","524","False","False","1/8/2018 1:26:04 PM","4/10/2026 3:31:57 AM","百万 / 冲顶 / 芝士 / UC  / 万能 答题助手（知识图谱更加专业，自动推荐答案， Android手机自动屏幕适配，模拟器支持，多开)","adb;android;baidu;ios;ocr;python3;xigua","topic:ios language:Python stars:>=50"
"CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59711","False","False","5/26/2019 8:56:15 AM","5/3/2026 6:01:13 PM","Clone a voice in 5 seconds to generate arbitrary speech in real-time","deep-learning;python;pytorch;tensorflow;tts;voice-cloning","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160213","False","False","10/29/2018 1:56:00 PM","5/3/2026 6:57:29 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"aoguai/LiYing","https://github.com/aoguai/LiYing","aoguai","Python","3201","False","False","8/3/2024 5:24:35 AM","5/1/2026 4:59:35 AM","LiYing is an automated photo processing program designed for automating the post-processing workflow of ID photos in general photo studios. | LiYing 是一套适用于自动化 完成一般照相馆后期证件照处理流程的照片自动处理的程序。","background-replacement;image-compression;image-cropping;photo-layout;photo-processing;portrait-recognition","y language:Python stars:>=50"
"kevinjalbert/notion-toolbox","https://github.com/kevinjalbert/notion-toolbox","kevinjalbert","Python","703","False","False","5/10/2019 10:04:42 PM","4/3/2026 2:27:53 AM","This is a collection of Notion tools that work in tandem together.","alfred;alfred-workflow;heroku;ifttt;ios;ios-scriptable;ios-shortcuts;ios-widget;notion;organization;productivity;scriptable;scriptable-app","topic:ios language:Python stars:>=50"
"conorluddy/ios-simulator-skill","https://github.com/conorluddy/ios-simulator-skill","conorluddy","Python","927","False","False","10/17/2025 12:43:15 PM","5/3/2026 5:24:00 PM","An IOS Simulator Skill for ClaudeCode. Use it to optimise Claude's ability to build, run and interact with your apps. I mainly use it as an xcodebuild wrapper to save context.","agent;agentic-ai;ai-agents;claude;claude-ai;claude-code;claude-skills;claudecode;claudeskills;dx;ios;iossimulator;mcp;mcp-tools;python;simulator;skills;testing;tooling;xcode","topic:ios language:Python stars:>=50"
"mvt-project/mvt","https://github.com/mvt-project/mvt","mvt-project","Python","12371","False","False","7/16/2021 5:50:44 AM","5/3/2026 5:02:03 PM","MVT (Mobile Verification Toolkit) helps with conducting forensics of mobile devices in order to find signs of a potential compromise.","android;forensics;forensics-tools;ios;mobile;security","topic:ios language:Python stars:>=50"
"digital-nomad-cheng/Hair_Segmentation_Keras","https://github.com/digital-nomad-cheng/Hair_Segmentation_Keras","digital-nomad-cheng","Python","87","False","False","6/12/2019 1:31:39 AM","3/11/2026 11:44:10 AM","Implement some hair segmentation network and a color similarity calculating method.","computer-vision;coreml;hair-segmentation;keras;segmentation;tensorflow-serving","topic:coreml language:Python stars:>=50"
"DocF/multispectral-object-detection","https://github.com/DocF/multispectral-object-detection","DocF","Python","467","False","False","10/30/2021 12:08:04 PM","4/27/2026 2:48:55 AM","Multispectral Object Detection with Yolov5  and Transformer","deep-learning;object-detection;pytorch;transformer;yolov5","yolov5 language:Python stars:>=50"
"microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41915","False","False","8/14/2020 6:46:00 AM","5/3/2026 6:01:55 PM","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","algorithmic-trading;auto-quant;deep-learning;finance;fintech;investment;machine-learning;paper;platform;python;quant;quant-dataset;quant-models;quantitative-finance;quantitative-trading;research;research-paper;stock-data","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
