"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","brightmart/albert_zh","https://github.com/brightmart/albert_zh","brightmart","Python","3981","deep-learning","1","1029.25","True","0.2667","0","1","0.7957","1","1","0.3333","topic:bert language:Python stars:>=50","A LITE BERT FOR SELF-SUPERVISED LEARNING OF LANGUAGE REPRESENTATIONS, 海量中文预训练ALBERT模型"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","lonePatient/BERT-NER-Pytorch","https://github.com/lonePatient/BERT-NER-Pytorch","lonePatient","Python","2243","deep-learning","2","990.81","True","0.1579","0.125","1","0.6711","1","1","0.3333","topic:bert language:Python stars:>=50","Chinese NER(Named Entity Recognition) using BERT(Softmax, CRF, Span)"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","airaria/TextBrewer","https://github.com/airaria/TextBrewer","airaria","Python","1698","deep-learning","3","981.88","True","0.25","0","1","0.6107","1","1","0.3333","topic:bert language:Python stars:>=50","A PyTorch-based knowledge distillation toolkit for natural language processing"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","dmmiller612/bert-extractive-summarizer","https://github.com/dmmiller612/bert-extractive-summarizer","dmmiller612","Python","1453","deep-learning","4","947.39","True","0.1667","0.0714","1","0.5769","1","1","0.3333","topic:bert language:Python stars:>=50","Easy to use extractive text summarization with BERT"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","nl8590687/ASRT_SpeechRecognition","https://github.com/nl8590687/ASRT_SpeechRecognition","nl8590687","Python","8373","deep-learning","5","914.86","True","0.0526","0.0769","1","0.9571","1","1","0.3333","chinese language:Python stars:>=50","A Deep-Learning-Based Chinese Speech Recognition System 基于深度学习的中文语音识别系统"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","alibaba/AliceMind","https://github.com/alibaba/AliceMind","alibaba","Python","2043","deep-learning","6","913.9","True","0.1667","0","1","0.6509","1","1","0.3333","topic:bert language:Python stars:>=50","ALIbaba's Collection of Encoder-decoders from MinD (Machine IntelligeNce of Damo) Lab"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","namisan/mt-dnn","https://github.com/namisan/mt-dnn","namisan","Python","2257","deep-learning","7","901.51","True","0.1765","0","1","0.6725","0.8","1","0.3333","topic:bert language:Python stars:>=50","Multi-Task Deep Neural Networks for Natural Language Understanding"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","jina-ai/clip-as-service","https://github.com/jina-ai/clip-as-service","jina-ai","Python","12835","deep-learning","8","894.54","False","0.087","0","1","0.9501","1","1","0.3333","topic:bert language:Python stars:>=50","🏄 Scalable embedding, reasoning, ranking for images and sentences with CLIP"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","macanv/BERT-BiLSTM-CRF-NER","https://github.com/macanv/BERT-BiLSTM-CRF-NER","macanv","Python","4904","deep-learning","9","888.12","False","0.0667","0.0476","1","0.841","1","1","0.3333","topic:bert language:Python stars:>=50","Tensorflow solution of NER task Using BiLSTM-CRF model with Google BERT Fine-tuning And private Server services"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59708","deep-learning","10","886.43","False","0.1429","0","1","0.6163","1","1","0.3333","topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29389","deep-learning","11","872.3","False","0.0417","0","1","0.7703","1","1","0.6667","chinese language:Python stars:>=50 | topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64059","deep-learning","12","867.69","False","0.125","0","1","0.6011","1","1","0.3333","topic:deep-learning stars:>=100","Deep Learning for humans"
"ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","codertimo/BERT-pytorch","https://github.com/codertimo/BERT-pytorch","codertimo","Python","6533","llm","13","862.23","False","0.25","0.0833","1","0.9032","1","0","0.3333","topic:bert language:Python stars:>=50","Google AI 2018 BERT pytorch implementation"
