"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","False","False","8/24/2019 12:14:52 AM","5/3/2026 6:55:12 PM","Streamlit — A faster way to build and share data apps.","data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19178","False","False","5/10/2023 12:57:13 PM","5/3/2026 5:44:17 PM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","o language:Python stars:>=50"
"letta-ai/letta","https://github.com/letta-ai/letta","letta-ai","Python","22417","False","False","10/11/2023 7:38:37 AM","5/3/2026 6:13:50 PM","Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time.","ai;ai-agents;llm;llm-agent","topic:ai language:Python stars:>=50"
"infiniflow/ragflow","https://github.com/infiniflow/ragflow","infiniflow","Python","79553","False","False","12/12/2023 6:13:13 AM","5/3/2026 6:58:20 PM","RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs","llm-app","open language:Python stars:>=50"
"stitionai/devika","https://github.com/stitionai/devika","stitionai","Python","19505","False","False","3/21/2024 3:03:21 AM","5/3/2026 3:37:24 PM","Devika is the first open-source implementation of an Agentic Software Engineer. Initially started as an open-source alternative to Devin.","","open language:Python stars:>=50"
"opencv/opencv","https://github.com/opencv/opencv","opencv","C++","87330","False","False","7/19/2012 9:40:17 AM","5/3/2026 4:50:32 PM","Open Source Computer Vision Library","c-plus-plus;computer-vision;deep-learning;image-processing;opencv","topic:deep-learning stars:>=100"
"commaai/openpilot","https://github.com/commaai/openpilot","commaai","Python","60802","False","False","11/24/2016 1:33:30 AM","5/3/2026 6:49:55 PM","openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.","advanced-driver-assistance-systems;driver-assistance-systems;robotics","open language:Python stars:>=50 | o language:Python stars:>=50"
"eugeneyan/applied-ml","https://github.com/eugeneyan/applied-ml","eugeneyan","","28793","False","False","7/4/2020 6:57:47 PM","5/3/2026 8:03:53 AM","📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.","applied-data-science;applied-machine-learning;computer-vision;data-discovery;data-engineering;data-quality;data-science;deep-learning;machine-learning;natural-language-processing;production;recsys;reinforcement-learning;search","topic:deep-learning stars:>=100"
"lm-sys/FastChat","https://github.com/lm-sys/FastChat","lm-sys","Python","39461","False","False","3/19/2023 12:18:02 AM","5/3/2026 2:40:20 PM","An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.","","open language:Python stars:>=50"
"HKUDS/OpenHarness","https://github.com/HKUDS/OpenHarness","HKUDS","Python","11798","False","False","4/1/2026 3:37:13 PM","5/3/2026 6:05:51 PM","""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""","","o language:Python stars:>=50"
"Avik-Jain/100-Days-Of-ML-Code","https://github.com/Avik-Jain/100-Days-Of-ML-Code","Avik-Jain","","50832","False","False","7/5/2018 9:11:43 AM","5/3/2026 6:28:59 PM","100 Days of ML Coding","100-days-of-code-log;100daysofcode;deep-learning;implementation;infographics;linear-algebra;linear-regression;logistic-regression;machine-learning;machine-learning-algorithms;naive-bayes-classifier;python;scikit-learn;siraj-raval;siraj-raval-challenge;support-vector-machines;svm;tutorial","topic:deep-learning stars:>=100"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","False","False","6/24/2015 2:49:52 AM","5/3/2026 3:53:58 PM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"flwrlabs/flower","https://github.com/flwrlabs/flower","flwrlabs","Python","6873","False","False","2/17/2020 11:51:29 AM","5/3/2026 8:19:49 AM","Flower: A Friendly Federated AI Framework","ai;android;artificial-intelligence;cpp;deep-learning;federated-analytics;federated-learning;federated-learning-framework;fleet-intelligence;fleet-learning;flower;framework;grpc;ios;machine-learning;python;pytorch;raspberry-pi;scikit-learn;tensorflow","topic:artificial-intelligence language:Python stars:>=50"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57330","False","False","5/18/2020 3:45:11 AM","5/3/2026 3:06:59 PM","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite","coreml;deep-learning;ios;machine-learning;ml;object-detection;onnx;pytorch;tflite;ultralytics;yolo;yolov3;yolov5","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72553","False","False","3/13/2024 3:33:31 AM","5/3/2026 5:48:20 PM","🙌 OpenHands: AI-Driven Development","agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai","topic:artificial-intelligence language:Python stars:>=50 | open language:Python stars:>=50 | o language:Python stars:>=50"
