"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 7:32:26 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"pypa/pipenv","https://github.com/pypa/pipenv","pypa","Python","25080","False","False","1/20/2017 12:44:02 AM","5/2/2026 10:45:02 AM"," Python Development Workflow for Humans.","packaging;pip;pipfile;python;virtualenv","p language:Python stars:>=50"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19168","False","False","5/10/2023 12:57:13 PM","5/3/2026 7:18:09 AM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","open-source language:Python stars:>=50"
"modelcontextprotocol/python-sdk","https://github.com/modelcontextprotocol/python-sdk","modelcontextprotocol","Python","22859","False","False","9/24/2024 9:01:35 PM","5/3/2026 3:54:08 AM","The official Python SDK for Model Context Protocol servers and clients","","p language:Python stars:>=50"
"stitionai/devika","https://github.com/stitionai/devika","stitionai","Python","19505","False","False","3/21/2024 3:03:21 AM","5/2/2026 9:42:56 PM","Devika is the first open-source implementation of an Agentic Software Engineer. Initially started as an open-source alternative to Devin.","","open-source language:Python stars:>=50"
"kivy/kivy","https://github.com/kivy/kivy","kivy","Python","18926","False","False","11/3/2010 8:27:32 PM","5/2/2026 1:46:35 PM","Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS","android;app;ios;kivy;linux;macos;python;ui;windows","open-source language:Python stars:>=50"
"deepanwadhwa/zink","https://github.com/deepanwadhwa/zink","deepanwadhwa","Python","83","False","False","3/4/2025 1:18:22 PM","4/14/2026 9:06:50 PM","A Python package for zero-shot text anonymization using Transformer-based NER models.","ai;anonymization;hippaa;machine-learning;nlp;privacy","topic:anonymization language:Python stars:>=50"
"PDFMathTranslate/PDFMathTranslate","https://github.com/PDFMathTranslate/PDFMathTranslate","PDFMathTranslate","Python","33480","False","False","9/6/2024 6:56:03 AM","5/3/2026 7:34:32 AM","[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero","chinese;document;edit;english;japanese;korean;latex;math;mcp;modify;obsidian;openai;pdf;pdf2zh;python;russian;translate;translation;zotero","p language:Python stars:>=50"
"home-assistant/core","https://github.com/home-assistant/core","home-assistant","Python","86899","False","False","9/17/2013 7:29:48 AM","5/3/2026 8:39:18 AM",":house_with_garden: Open source home automation that puts local control and privacy first.","asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi","open-source language:Python stars:>=50"
"google/python-fire","https://github.com/google/python-fire","google","Python","28186","False","False","2/21/2017 9:35:07 PM","5/3/2026 4:11:06 AM","Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.","cli;python","p language:Python stars:>=50"
"chi0tzp/FALCO","https://github.com/chi0tzp/FALCO","chi0tzp","Python","76","False","False","3/1/2023 6:02:25 PM","3/31/2026 6:49:00 AM","[CVPR 2023, top-10%] Authors official PyTorch implementation of the ""Attribute-preserving Face Dataset Anonymization via Latent Code Optimization"".","anonymization;face-anonymization;gan;generative-adversarial-network;generative-ai;pytorch","topic:anonymization language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172284","False","False","1/18/2026 12:51:51 AM","5/3/2026 8:34:09 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139926","False","False","4/12/2023 7:40:24 AM","5/3/2026 8:37:50 AM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25693","False","False","6/5/2018 4:05:58 PM","5/3/2026 8:12:56 AM","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","agentops;agents;ai;ai-governance;apache-spark;evaluation;langchain;llm-evaluation;llmops;machine-learning;ml;mlflow;mlops;model-management;observability;open-source;openai;prompt-engineering","open-source language:Python stars:>=50"
"WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26228","False","False","11/14/2019 3:02:27 PM","5/2/2026 7:58:19 AM","deep learning for image processing including classification and object-detection etc.","bilibili;classification;deep-learning;object-detection;pytorch;segmentation;tensorflow2","p language:Python stars:>=50"
"Cinnamon/kotaemon","https://github.com/Cinnamon/kotaemon","Cinnamon","Python","25349","False","False","3/25/2024 8:16:42 AM","5/2/2026 2:45:30 PM","An open-source RAG-based tool for chatting with your documents.","chatbot;llms;open-source;rag","open-source language:Python stars:>=50"
"modelscope/FunASR","https://github.com/modelscope/FunASR","modelscope","Python","15938","False","False","11/24/2022 2:28:11 AM","5/3/2026 8:35:16 AM","A Fundamental End-to-End Speech Recognition Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Recognition, Voice Activity Detection, Text Post-processing etc.","audio-visual-speech-recognition;conformer;dfsmn;paraformer;pretrained-model;punctuation;pytorch;rnnt;speaker-diarization;speech-recognition;speechgpt;speechllm;vad;voice-activity-detection;whisper","open-source language:Python stars:>=50"
"pathwaycom/pathway","https://github.com/pathwaycom/pathway","pathwaycom","Python","63360","False","False","11/27/2022 1:01:14 PM","5/3/2026 6:44:31 AM","Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.","batch-processing;data-analytics;data-pipelines;data-processing;dataflow;etl;etl-framework;iot-analytics;kafka;machine-learning-algorithms;pathway;python;real-time;rust;stream-processing;streaming;time-series-analysis","p language:Python stars:>=50"
"google/langextract","https://github.com/google/langextract","google","Python","36357","False","False","7/8/2025 8:46:06 PM","5/3/2026 8:36:41 AM","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.","gemini;gemini-ai;gemini-api;gemini-flash;gemini-pro;information-extration;large-language-models;llm;nlp;python;structured-data","topic:llm stars:>=100"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25105","False","False","4/18/2017 10:33:05 AM","5/3/2026 7:04:19 AM","Image-to-Image Translation in PyTorch","computer-graphics;computer-vision;cyclegan;deep-learning;gan;gans;generative-adversarial-network;image-generation;image-manipulation;pix2pix;pytorch","p language:Python stars:>=50"
"open-webui/open-webui","https://github.com/open-webui/open-webui","open-webui","Python","135272","False","False","10/6/2023 10:08:27 PM","5/3/2026 8:38:13 AM","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","ai;llm;llm-ui;llm-webui;llms;mcp;ollama;ollama-webui;open-webui;openai;openapi;rag;self-hosted;ui;webui","topic:llm stars:>=100"
"milvus-io/milvus","https://github.com/milvus-io/milvus","milvus-io","Go","44098","False","False","9/16/2019 6:43:43 AM","5/3/2026 8:28:07 AM","Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search","anns;cloud-native;diskann;distributed;embedding-database;embedding-similarity;embedding-store;faiss;golang;hnsw;image-search;llm;nearest-neighbor-search;rag;vector-database;vector-search;vector-similarity;vector-store","topic:llm stars:>=100"
"hummingbot/hummingbot","https://github.com/hummingbot/hummingbot","hummingbot","Python","18446","False","False","4/2/2019 9:41:52 PM","5/3/2026 8:39:31 AM","Open source software that helps you create and deploy high-frequency crypto trading bots","algotrading;arbitrage;backtesting;bitcoin;bot;crypto;cryptocurrency;cython;dex;docker;ethereum;hft;marketmaking;orderbook;python;trading","open-source language:Python stars:>=50"
"python-poetry/poetry","https://github.com/python-poetry/poetry","python-poetry","Python","34278","False","False","2/28/2018 3:23:47 PM","5/3/2026 7:55:51 AM","Python packaging and dependency management made easy","dependency-manager;package-manager;packaging;poetry;python","p language:Python stars:>=50"
"pyg-team/pytorch_geometric","https://github.com/pyg-team/pytorch_geometric","pyg-team","Python","23717","False","False","10/6/2017 4:03:03 PM","5/3/2026 8:35:40 AM","Graph Neural Network Library for PyTorch","deep-learning;geometric-deep-learning;graph-convolutional-networks;graph-neural-networks;pytorch","p language:Python stars:>=50"
