"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"matplotlib/matplotlib","https://github.com/matplotlib/matplotlib","matplotlib","Python","22762","False","False","2/19/2011 3:17:12 AM","5/3/2026 6:09:29 AM","matplotlib: plotting with Python","data-science;data-visualization;gtk;matplotlib;plotting;python;qt;tk;wx","m language:Python stars:>=50"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:computer-vision language:Python stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","False","False","6/24/2015 2:49:52 AM","5/3/2026 8:43:04 AM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"PeterL1n/BackgroundMattingV2","https://github.com/PeterL1n/BackgroundMattingV2","PeterL1n","Python","7157","False","False","12/1/2020 12:26:17 AM","4/30/2026 3:33:28 AM","Real-Time High-Resolution Background Matting","computer-vision;machine-learning;matting;real-time","topic:computer-vision language:Python stars:>=50"
"KaiyangZhou/deep-person-reid","https://github.com/KaiyangZhou/deep-person-reid","KaiyangZhou","Python","4817","False","False","3/11/2018 9:14:39 PM","5/2/2026 6:09:48 PM","Torchreid: Deep learning person re-identification in PyTorch.","computer-vision;cross-domain;deep-learning;deep-neural-networks;image-retrieval;machine-learning;metric-learning;person-reid;person-reidentification;pytorch;re-ranking","topic:computer-vision language:Python stars:>=50"
"youyuge34/Anime-InPainting","https://github.com/youyuge34/Anime-InPainting","youyuge34","Python","1126","False","False","1/7/2019 9:53:36 AM","4/28/2026 4:20:45 PM","An application tool of edge-connect, which can do anime inpainting and drawing.   动漫人物图片自动修复，去马赛克，填补，去瑕疵","anime;computer-vision;cv;deep-learning;gan;generative-adversarial-network;inpainting;mosaic;neural-network;opencv;python;pytorch","topic:cv language:Python stars:>=50"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:computer-vision language:Python stars:>=50"
"ipipdotnet/ipdb-python","https://github.com/ipipdotnet/ipdb-python","ipipdotnet","Python","161","False","False","8/16/2018 2:18:47 AM","4/18/2026 4:58:39 AM","IPIP.net officially supported IP database ipdb format parsing library","","officially language:Python stars:>=50"
"lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","False","False","12/11/2020 4:35:13 PM","5/3/2026 5:44:25 AM","pix2tex: Using a ViT to convert images of equations into LaTeX code.","dataset;deep-learning;im2latex;im2markup;im2text;image-processing;image2text;latex;latex-ocr;machine-learning;math-ocr;ocr;python;pytorch;transformer;vision-transformer;vit","topic:deep-learning language:Python stars:>=50"
"flowese/IdeogramWrapper","https://github.com/flowese/IdeogramWrapper","flowese","Python","74","False","False","8/30/2023 7:04:38 PM","3/4/2026 8:52:11 AM","IdeogramWrapper Is a Python package that allows you to generate images from Ideogram's API using textual prompts. This package is based on reverse engineering of Ideogram's API (https://ideogram.ai/) and is not officially endorsed by Ideogram","","officially language:Python stars:>=50"
"JeffersonQin/YuzuMarker.FontDetection","https://github.com/JeffersonQin/YuzuMarker.FontDetection","JeffersonQin","Python","546","False","False","9/26/2021 4:17:08 PM","4/29/2026 12:29:54 PM","✨ 首个CJK（中日韩）字体识别以及样式提取模型 YuzuMarker的字体识别模型与实现 / First-ever CJK (Chinese Japanese Korean) Font Recognition and Style Extractor, side project of YuzuMarker","chinese;cjk-characters;cjk-font;cnn;computer-vision;cv;font;font-recognition;fonts;japanese;korean;pytorch;pytorch-cnn;pytorch-lightning;recognition","topic:cv language:Python stars:>=50"
"chenfei-wu/TaskMatrix","https://github.com/chenfei-wu/TaskMatrix","chenfei-wu","Python","34133","False","False","3/2/2023 9:04:28 AM","5/3/2026 7:19:22 AM","","","m language:Python stars:>=50"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77592","False","False","8/23/2017 4:40:24 AM","5/3/2026 8:38:11 AM","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。","book;chinese;computer-vision;deep-learning;machine-learning;natural-language-processing;notebook;python","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20757","False","False","9/7/2017 4:53:45 AM","5/3/2026 2:57:57 AM","Open standard for machine learning interoperability","ai;artificial-intelligence;deep-learning;deep-neural-networks;dnn;keras;machine-learning;ml;neural-network;onnx;pytorch;scikit-learn;tensorflow","topic:deep-learning language:Python stars:>=50"
"halfzm/v2vt","https://github.com/halfzm/v2vt","halfzm","Python","145","False","False","2/5/2024 5:59:52 AM","4/23/2026 4:25:16 PM","video to video translation with voice clone and lip synchronization|带有语音克隆和口型同步的视频翻译，支持中英互换","ai;cv;nlp;v2v","topic:cv language:Python stars:>=50"
"jmisilo/clip-gpt-captioning","https://github.com/jmisilo/clip-gpt-captioning","jmisilo","Python","118","False","False","9/25/2022 5:51:31 PM","8/28/2025 11:52:55 AM","CLIPxGPT Captioner is Image Captioning Model based on OpenAI's CLIP and GPT-2.","computer-vision;cv;deep-learning;image-caption;image-caption-generator;image-captioning;machine-learning;nlp;python;pytorch","topic:cv language:Python stars:>=50"
"mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25693","False","False","6/5/2018 4:05:58 PM","5/3/2026 8:12:56 AM","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","agentops;agents;ai;ai-governance;apache-spark;evaluation;langchain;llm-evaluation;llmops;machine-learning;ml;mlflow;mlops;model-management;observability;open-source;openai;prompt-engineering","m language:Python stars:>=50"
"jaisayush/Fatigue-Detection-System-Based-On-Behavioural-Characteristics-Of-Driver","https://github.com/jaisayush/Fatigue-Detection-System-Based-On-Behavioural-Characteristics-Of-Driver","jaisayush","Python","104","False","False","3/31/2019 9:56:51 AM","2/16/2026 1:31:15 PM","A computer vision system made with the help of opencv that can automatically detect driver drowsiness in a real-time video stream and then play an alarm if the driver appears to be drowsy.","anaconda-environment;anaconda3;computer-vision;cv;cv2;drowsiness-detection;drowsy-driver-warning-system;imutils;miniproject;numpy;opencv;opencv-python;opencv2;playsound;python;python3;scipy","topic:cv language:Python stars:>=50"
"WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26228","False","False","11/14/2019 3:02:27 PM","5/2/2026 7:58:19 AM","deep learning for image processing including classification and object-detection etc.","bilibili;classification;deep-learning;object-detection;pytorch;segmentation;tensorflow2","topic:deep-learning language:Python stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38297","False","False","11/28/2022 2:08:44 PM","5/3/2026 8:12:42 AM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"obss/sahi","https://github.com/obss/sahi","obss","Python","5265","False","False","1/30/2021 12:54:53 PM","5/2/2026 3:12:07 AM","Framework agnostic sliced/tiled inference + interactive ui + error analysis plots","coco;computer-vision;deep-learning;explainable-ai;fiftyone;hacktoberfest;huggingface;instance-segmentation;large-image;machine-learning;mmdetection;object-detection;oriented-object-detection;python;pytorch;remote-sensing;satellite;small-object-detection;tiling;yolo11","topic:computer-vision language:Python stars:>=50"
"camel-ai/camel","https://github.com/camel-ai/camel","camel-ai","Python","16862","False","False","3/17/2023 9:41:54 PM","5/3/2026 4:26:09 AM","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org","agent;ai-societies;artificial-intelligence;communicative-ai;cooperative-ai;deep-learning;large-language-models;multi-agent-systems;natural-language-processing","topic:deep-learning language:Python stars:>=50"
"NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD","NVIDIA","Python","6931","False","False","12/1/2017 7:19:14 PM","5/3/2026 7:03:20 AM","Synthesizing and manipulating 2048x1024 images with conditional GANs","computer-graphics;computer-vision;deep-learning;deep-neural-networks;gan;generative-adversarial-network;image-to-image-translation;pix2pix;pytorch","topic:computer-vision language:Python stars:>=50"
"huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21482","False","False","3/26/2020 9:23:22 AM","5/3/2026 1:03:12 AM","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50"
"jingyaogong/minimind","https://github.com/jingyaogong/minimind","jingyaogong","Python","48751","False","False","7/27/2024 4:34:12 AM","5/3/2026 8:45:32 AM","🚀 「大模型」2小时完全从0训练64M的小参数LLM！🌏 Train a 64M-parameter LLM from scratch in just 2h!","artificial-intelligence;large-language-model","m language:Python stars:>=50"
"rasbt/LLMs-from-scratch","https://github.com/rasbt/LLMs-from-scratch","rasbt","Jupyter Notebook","91846","False","False","7/23/2023 6:15:57 PM","5/3/2026 8:47:10 AM","Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","ai;artificial-intelligence;chatbot;chatgpt;deep-learning;from-scratch;generative-ai;gpt;language-model;large-language-models;llm;machine-learning;neural-networks;python;pytorch;transformers","topic:deep-learning stars:>=100"
"CMU-Perceptual-Computing-Lab/openpose","https://github.com/CMU-Perceptual-Computing-Lab/openpose","CMU-Perceptual-Computing-Lab","C++","34058","False","False","4/24/2017 2:06:31 PM","5/3/2026 6:01:50 AM","OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation","caffe;computer-vision;cpp;cvpr-2017;deep-learning;face;foot-estimation;hand-estimation;human-behavior-understanding;human-pose;human-pose-estimation;keypoint-detection;keypoints;machine-learning;multi-person;opencv;openpose;pose;pose-estimation;real-time","topic:deep-learning stars:>=100"
"jina-ai/serve","https://github.com/jina-ai/serve","jina-ai","Python","21872","False","False","2/13/2020 5:04:44 PM","5/3/2026 8:33:46 AM","☁️ Build multimodal AI applications with cloud-native stack","cloud-native;cncf;deep-learning;docker;fastapi;framework;generative-ai;grpc;jaeger;kubernetes;llmops;machine-learning;microservice;mlops;multimodal;neural-search;opentelemetry;orchestration;pipeline;prometheus","topic:deep-learning language:Python stars:>=50"
"HurryPeng/MagiaTimeline","https://github.com/HurryPeng/MagiaTimeline","HurryPeng","Python","95","False","False","1/5/2023 6:32:06 AM","5/2/2026 5:23:26 PM","A general-purpose CV-based framework for extracting precise subtitle timelines from videos with embedded subtitles, from video to .ass file.","cv;cv2;limbus-company;madoka;madoka-magica;magia-record;parako;rpg-tool;subtitle;time-coding;timeline;video","topic:cv language:Python stars:>=50"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25105","False","False","4/18/2017 10:33:05 AM","5/3/2026 7:04:19 AM","Image-to-Image Translation in PyTorch","computer-graphics;computer-vision;cyclegan;deep-learning;gan;gans;generative-adversarial-network;image-generation;image-manipulation;pix2pix;pytorch","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50"
"ymcui/Chinese-LLaMA-Alpaca","https://github.com/ymcui/Chinese-LLaMA-Alpaca","ymcui","Python","18946","False","False","3/15/2023 11:09:39 AM","5/3/2026 2:55:57 AM","中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)","alpaca;alpaca-2;large-language-models;llama;llama-2;llm;lora;nlp;plm;pre-trained-language-models;quantization","m language:Python stars:>=50"
"matterport/Mask_RCNN","https://github.com/matterport/Mask_RCNN","matterport","Python","25553","False","False","10/19/2017 8:28:34 PM","5/3/2026 3:36:22 AM","Mask R-CNN for object detection and instance segmentation on Keras and TensorFlow","instance-segmentation;keras;mask-rcnn;object-detection;tensorflow","m language:Python stars:>=50"
"666ghj/MiroFish","https://github.com/666ghj/MiroFish","666ghj","Python","58883","False","False","11/26/2025 4:23:02 AM","5/3/2026 8:45:23 AM","A Simple and Universal Swarm Intelligence Engine, Predicting Anything. 简洁通用的群体智能引擎，预测万物","agent-memory;financial-forecasting;future-prediction;knowledge-graph;llms;multi-agent-simulation;public-opinion-analysis;python3;social-prediction;swarm-intelligence","m language:Python stars:>=50"
"babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","False","False","8/7/2021 3:53:39 AM","5/2/2026 11:41:36 AM","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time","ai;deep-learning;pytorch;speech;text-to-speech;tts","topic:deep-learning language:Python stars:>=50 | m language:Python stars:>=50 | topic:deep-learning stars:>=100"
"xuebinqin/U-2-Net","https://github.com/xuebinqin/U-2-Net","xuebinqin","Python","9723","False","False","5/4/2020 5:10:28 PM","5/3/2026 6:51:13 AM","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection.""","computer-vision;deep-learning;image-background-removal;image-processing;image-segmentation;u-2-net;u2net","topic:computer-vision language:Python stars:>=50"
"ajbrock/BigGAN-PyTorch","https://github.com/ajbrock/BigGAN-PyTorch","ajbrock","Python","2926","False","False","1/20/2019 6:50:49 PM","5/3/2026 7:00:03 AM","The author's officially unofficial PyTorch BigGAN implementation.","biggan;deep-learning;dogball;gans;neural-networks;pytorch","officially language:Python stars:>=50"
"Vector35/official-plugins","https://github.com/Vector35/official-plugins","Vector35","Python","57","False","False","3/24/2017 3:46:18 PM","4/26/2026 2:47:04 AM","Repository for officially supported Binary Ninja plugins","","officially language:Python stars:>=50"
"DataXujing/YOLO-V3-Tensorflow","https://github.com/DataXujing/YOLO-V3-Tensorflow","DataXujing","Python","238","False","False","7/30/2019 7:29:25 AM","4/28/2026 9:03:45 AM",":construction_worker: :construction_worker::construction_worker: YOLO V3(Tensorflow 1.x) 安全帽 识别 | 提供数据集下载和与预训练模型","cv;object-detection;tensorflow;yolov3","topic:cv language:Python stars:>=50"
"EthanH3514/AL_Yolo","https://github.com/EthanH3514/AL_Yolo","EthanH3514","Python","346","False","False","5/22/2023 7:40:18 AM","5/2/2026 3:05:33 PM","👺 基于Yolov5的Apex Legend游戏 AI 辅瞄外挂","aimbot;apex;apex-legends;cheat;cv;game;yolo;yolov5","topic:cv language:Python stars:>=50"
"nerfstudio-project/nerfstudio","https://github.com/nerfstudio-project/nerfstudio","nerfstudio-project","Python","11508","False","False","5/31/2022 6:17:37 PM","5/3/2026 3:00:13 AM","A collaboration friendly studio for NeRFs","3d;3d-graphics;3d-reconstruction;computer-vision;deep-learning;gaussian-splatting;machine-learning;nerf;photogrammetry;pytorch","topic:computer-vision language:Python stars:>=50"
"Huage001/PaintTransformer","https://github.com/Huage001/PaintTransformer","Huage001","Python","523","False","False","8/9/2021 2:46:45 AM","4/2/2026 4:56:11 PM","Officially unofficial re-implementation of paper: Paint Transformer: Feed Forward Neural Painting with Stroke Prediction, ICCV 2021. ","","officially language:Python stars:>=50"
"yanshengjia/ml-road","https://github.com/yanshengjia/ml-road","yanshengjia","Python","4746","False","False","10/31/2017 4:36:37 AM","5/3/2026 6:59:08 AM","Machine Learning and Agentic AI Resources, Practice and Research","agentic-ai;computer-vision;deep-learning;machine-learning;nlp;pytorch;speech-recognition;tensorflow","topic:computer-vision language:Python stars:>=50"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21667","False","False","9/19/2018 10:06:07 AM","5/3/2026 6:26:54 AM","Best Practices on Recommendation Systems","ai;artificial-intelligence;data-science;deep-learning;jupyter-notebook;kubernetes;machine-learning;operationalization;python;ranking;rating;recommendation;recommendation-algorithm;recommendation-engine;recommendation-system;recommender;tutorial","topic:deep-learning language:Python stars:>=50"
"STVIR/pysot","https://github.com/STVIR/pysot","STVIR","Python","4602","False","False","5/7/2019 12:37:56 PM","5/2/2026 7:03:09 PM","SenseTime Research platform for single object tracking, implementing algorithms like SiamRPN and SiamMask.","computer-vision;siamese-network;tracking","topic:computer-vision language:Python stars:>=50"
"microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41871","False","False","8/14/2020 6:46:00 AM","5/3/2026 8:38:54 AM","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","algorithmic-trading;auto-quant;deep-learning;finance;fintech;investment;machine-learning;paper;platform;python;quant;quant-dataset;quant-models;quantitative-finance;quantitative-trading;research;research-paper;stock-data","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"harry0703/MoneyPrinterTurbo","https://github.com/harry0703/MoneyPrinterTurbo","harry0703","Python","56657","False","False","3/11/2024 2:57:34 AM","5/3/2026 8:21:51 AM","利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.","ai;automation;chatgpt;moviepy;python;shortvideo;tiktok","m language:Python stars:>=50"
"modelscope/modelscope","https://github.com/modelscope/modelscope","modelscope","Python","8888","False","False","7/25/2022 6:56:02 AM","5/3/2026 6:51:48 AM","ModelScope: bring the notion of Model-as-a-Service to life.","cv;deep-learning;machine-learning;multi-modal;nlp;python;science;speech","topic:cv language:Python stars:>=50"
"luxonis/depthai","https://github.com/luxonis/depthai","luxonis","Python","1060","False","False","10/28/2019 2:04:23 AM","4/29/2026 11:44:35 AM","DepthAI","ai;cv;embedded;ml;performant;spatial","topic:cv language:Python stars:>=50"
"deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55203","False","False","12/19/2017 9:44:13 AM","5/3/2026 6:57:28 AM","Deepfakes Software For All","deep-face-swap;deep-learning;deep-neural-networks;deepface;deepfakes;deeplearning;face-swap;faceswap;fakeapp;machine-learning;myfakeapp;neural-nets;neural-networks;openfaceswap","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100"
"duneanalytics/dune-client","https://github.com/duneanalytics/dune-client","duneanalytics","Python","129","False","False","9/1/2022 4:42:29 PM","4/27/2026 4:36:19 PM","A framework for interacting with Dune Analytics' officially supported API service","api-client;dune-analytics;web3","officially language:Python stars:>=50"
"BR-IDL/PaddleViT","https://github.com/BR-IDL/PaddleViT","BR-IDL","Python","1239","False","False","8/30/2021 6:47:47 AM","4/21/2026 7:04:09 AM",":robot: PaddleViT: State-of-the-art Visual Transformer and MLP Models for PaddlePaddle 2.0+","classification;computer-vision;cv;deep-learning;detection;encoder-decoder;gan;mlp;object-detection;paddlepaddle;segmentation;semantic-segmentation;transformer;vit","topic:cv language:Python stars:>=50"
