"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"Atmosphere/atmosphere","https://github.com/Atmosphere/atmosphere","Atmosphere","Java","3757","False","False","6/30/2010 2:26:23 PM","5/2/2026 4:42:05 PM","Real-time transport layer for Java AI agents. Build once with @Agent — deliver over WebSocket, SSE, gRPC, and WebTransport/HTTP3. Talk MCP, A2A and AG-UI. ","acp;agentic-ai;embabel;event-driven;java;koog;langchain4j;mcp;multiagent;quarkus;spring-ai;spring-boot;sse;websocket","mcp language:Java stars:>=50"
"quarkiverse/quarkus-mcp-servers","https://github.com/quarkiverse/quarkus-mcp-servers","quarkiverse","Java","188","False","False","1/22/2025 3:10:05 PM","4/17/2026 7:08:35 AM","Model Context Protocol Servers in Quarkus","mcp;quarkus-app","mcp language:Java stars:>=50"
"opennars/opennars","https://github.com/opennars/opennars","opennars","Java","416","False","False","7/18/2014 6:36:28 PM","4/18/2026 1:52:23 PM","OpenNARS for Research 3.0+","agent;agi;ai;aikr;artificial-general-intelligence;database;graph;inference;java;learning;logic;nal;nars;realtime;reasoner;reasoning;reinforcement;rl;semantic;solver","topic:agent language:Java stars:>=50"
"apache/hertzbeat","https://github.com/apache/hertzbeat","apache","Java","7196","False","False","2/4/2022 2:48:56 PM","5/2/2026 8:18:35 AM","An AI-powered next-generation open source real-time observability system.","agent;ai;alerting;database;grafana;linux;llm;logs;metrics;monitor;monitoring;notifications;observability;prometheus;self-hosted;server;status;status-page;uptime;zabbix","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50"
"jitlogic/zorka","https://github.com/jitlogic/zorka","jitlogic","Java","189","False","False","3/20/2012 12:45:11 PM","4/2/2026 8:30:31 AM","Sophisticated monitoring agent for Java","agent;bytecode-instrumentation;instrumentation;java;monitoring;zabbix;zorka","topic:agent language:Java stars:>=50"
"didi/KnowAgent","https://github.com/didi/KnowAgent","didi","Java","277","False","False","6/22/2021 1:06:35 PM","3/19/2026 8:23:55 AM","基于日志模板构建，采集任务动态管控、数据质量精确度量，一站式日志采集平台","agent;filebeat;fluentd;log;logagent;logtail","topic:agent language:Java stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160181","False","False","10/29/2018 1:56:00 PM","5/2/2026 6:13:27 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
"JabRef/jabref","https://github.com/JabRef/jabref","JabRef","Java","4329","False","False","3/11/2014 2:48:42 PM","5/2/2026 6:15:48 PM","Graphical Java application for managing BibTeX and BibLaTeX (.bib) databases","academia;academic-publications;ai;biblatex;bibliography;bibtex;citation;citation-generator;citation-style-language;citation-styles;hacktoberfest;jabref;java;javafx;javafx-application;javafx-desktop-apps;javafx-gui;latex;reference-manager;research-tool","topic:ai language:Java stars:>=50"
"Canner/wren-engine","https://github.com/Canner/wren-engine","Canner","Java","659","False","False","5/9/2022 7:07:45 AM","5/1/2026 4:27:48 AM","The open context engine for AI agents support 15+ data sources. Built on Rust and Apache DataFusion.","agent;agentic-ai;ai;business-intelligence;data;data-analysis;data-analytics;data-lake;data-warehouse;hacktoberfest;llm;mcp;mcp-server;semantic;semantic-layer;sql","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50"
"OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72513","False","False","3/13/2024 3:33:31 AM","5/2/2026 6:16:06 PM","🙌 OpenHands: AI-Driven Development","agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai","topic:llm stars:>=100"
