"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"openai/whisper","https://github.com/openai/whisper","openai","Python","98796","False","False","9/16/2022 8:02:54 PM","5/3/2026 8:18:49 AM","Robust Speech Recognition via Large-Scale Weak Supervision","","large-scale language:Python stars:>=50"
"pydantic/FastUI","https://github.com/pydantic/FastUI","pydantic","Python","8962","False","False","9/18/2023 8:12:00 AM","5/2/2026 12:55:50 AM","Build better UIs faster.","fastapi;pydantic;python;react","u language:Python stars:>=50"
"opendilab/DI-star","https://github.com/opendilab/DI-star","opendilab","Python","1367","False","False","7/4/2021 9:58:25 AM","4/28/2026 8:38:36 AM","An artificial intelligence platform for the StarCraft II with large-scale distributed training and grand-master agents.","artificial-intelligence;deep-learning;deep-reinforcement-learning;league;reinforcment-learning;self-play;starcraft2","large-scale language:Python stars:>=50"
"kijai/ComfyUI-WanVideoWrapper","https://github.com/kijai/ComfyUI-WanVideoWrapper","kijai","Python","6362","False","False","2/25/2025 6:03:11 PM","5/3/2026 3:04:38 AM","","","u language:Python stars:>=50"
"MiniMax-AI/MiniMax-M1","https://github.com/MiniMax-AI/MiniMax-M1","MiniMax-AI","Python","3148","False","False","6/14/2025 8:54:06 AM","5/2/2026 11:59:59 AM","MiniMax-M1, the world's first open-weight, large-scale hybrid-attention reasoning model.","large-language-models;llm;minimax-m1;reasoning-models","large-scale language:Python stars:>=50"
"Comfy-Org/ComfyUI-Manager","https://github.com/Comfy-Org/ComfyUI-Manager","Comfy-Org","Python","14468","False","False","4/23/2023 2:36:09 PM","5/3/2026 8:00:45 AM","ComfyUI-Manager is an extension designed to enhance the usability of ComfyUI. It offers management functions to install, remove, disable, and enable various custom nodes of ComfyUI. Furthermore, this extension provides a hub feature and convenience functions to access a wide range of information within ComfyUI.","","u language:Python stars:>=50"
"thunlp/UltraChat","https://github.com/thunlp/UltraChat","thunlp","Python","2832","False","False","4/3/2023 4:09:55 AM","5/3/2026 7:24:26 AM","Large-scale, Informative, and Diverse Multi-round Chat Data (and Models)","chatbot;chatgpt;deep-learning;large-language-models","large-scale language:Python stars:>=50"
"detectRecog/CCPD","https://github.com/detectRecog/CCPD","detectRecog","Python","2602","False","False","4/3/2018 2:19:51 AM","5/3/2026 7:22:18 AM","[ECCV 2018] CCPD: a diverse and well-annotated dataset for license plate detection and recognition","ccpd;dataset;detection;large-scale;plate-detection;recognition","large-scale language:Python stars:>=50"
"mudler/LocalAI","https://github.com/mudler/LocalAI","mudler","Go","46015","False","False","3/18/2023 10:58:02 PM","5/3/2026 7:39:57 AM","LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.","agents;ai;api;audio-generation;decentralized;distributed;image-generation;libp2p;llama;llm;mamba;mcp;musicgen;object-detection;rerank;stable-diffusion;text-generation;tts","topic:llm stars:>=100"
"Tencent-Hunyuan/Hunyuan3D-2","https://github.com/Tencent-Hunyuan/Hunyuan3D-2","Tencent-Hunyuan","Python","13651","False","False","1/21/2025 5:21:35 AM","5/3/2026 8:18:03 AM","High-Resolution 3D Assets Generation with Large Scale Hunyuan3D Diffusion Models.","3d;3d-aigc;3d-generation;diffusion-models;hunyuan3d;image-to-3d;shape;shape-generation;text-to-3d;texture-generation","large-scale language:Python stars:>=50"
"Ucas-HaoranWei/Vary","https://github.com/Ucas-HaoranWei/Vary","Ucas-HaoranWei","Python","1892","False","False","12/7/2023 9:46:03 AM","4/29/2026 8:39:06 AM","[ECCV 2024] Official code implementation of Vary: Scaling Up the Vision Vocabulary of Large Vision Language Models.","","large-scale language:Python stars:>=50"
"datawhalechina/hello-agents","https://github.com/datawhalechina/hello-agents","datawhalechina","Python","42270","False","False","9/7/2025 9:50:24 AM","5/3/2026 8:19:49 AM","📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程","agent;llm;rag;tutorial","topic:llm stars:>=100"
"2noise/ChatTTS","https://github.com/2noise/ChatTTS","2noise","Python","39192","False","False","5/27/2024 6:26:49 PM","5/3/2026 8:19:52 AM","A generative speech model for daily dialogue.","agent;chat;chatgpt;chattts;chinese;chinese-language;english;english-language;gpt;llm;llm-agent;natural-language-inference;python;text-to-speech;torch;torchaudio;tts","topic:llm stars:>=100"
"ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33751","False","False","1/10/2026 6:43:20 AM","5/3/2026 8:23:06 AM","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets.","agent;ai;aigc;gemini;llm;quant;quantitative-trading;rag;stock","topic:llm stars:>=100"
"langchain-ai/langchain","https://github.com/langchain-ai/langchain","langchain-ai","Python","135658","False","False","10/17/2022 2:58:36 AM","5/3/2026 8:12:42 AM","The agent engineering platform","agents;ai;ai-agents;anthropic;chatgpt;deepagents;enterprise;framework;gemini;generative-ai;langchain;langgraph;llm;multiagent;open-source;openai;pydantic;python;rag","topic:llm stars:>=100"
"rasbt/LLMs-from-scratch","https://github.com/rasbt/LLMs-from-scratch","rasbt","Jupyter Notebook","91844","False","False","7/23/2023 6:15:57 PM","5/3/2026 8:06:29 AM","Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","ai;artificial-intelligence;chatbot;chatgpt;deep-learning;from-scratch;generative-ai;gpt;language-model;large-language-models;llm;machine-learning;neural-networks;python;pytorch;transformers","topic:llm stars:>=100"
"philz1337x/clarity-upscaler","https://github.com/philz1337x/clarity-upscaler","philz1337x","Python","5041","False","False","3/15/2024 3:21:40 PM","4/29/2026 2:21:51 PM","Clarity AI | AI Image Upscaler & Enhancer - free and open-source Magnific Alternative","ai;ai-art;image-upscale;image-upscaler;image-upscaling;image2image;img2img;stable-diffusion;stable-diffusion-webui;upscale;upscaler;upscalerimage","u language:Python stars:>=50"
"camel-ai/oasis","https://github.com/camel-ai/oasis","camel-ai","Python","4470","False","False","11/13/2024 5:20:49 AM","5/3/2026 5:04:51 AM","🏝️ OASIS: Open Agent Social Interaction Simulations with One Million Agents. ","agent-based-framework;agent-based-simulation;ai-societies;deep-learning;large-language-models;large-scale;llm-agents;multi-agent-systems;natural-language-processing","large-scale language:Python stars:>=50"
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","Mintplex-Labs","JavaScript","59434","False","False","6/4/2023 2:29:14 AM","5/3/2026 8:20:02 AM","The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration.","ai-agents;custom-ai-agents;deepseek;kimi;llama3;llm;lmstudio;local-llm;localai;mcp;mcp-servers;moonshot;multimodal;no-code;ollama;qwen3;rag;vector-database;web-scraping","topic:llm stars:>=100"
"openatx/uiautomator2","https://github.com/openatx/uiautomator2","openatx","Python","8027","False","False","9/17/2017 12:20:42 PM","5/3/2026 6:01:24 AM","Android Uiautomator2 Python Wrapper","python;test;uiautomator","u language:Python stars:>=50"
"TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","TauricResearch","Python","63664","False","False","12/28/2024 3:31:08 AM","5/3/2026 8:23:29 AM","TradingAgents: Multi-Agents LLM Financial Trading Framework","agent;finance;llm;multiagent;trading","topic:llm stars:>=100"
"arxyzan/data2vec-pytorch","https://github.com/arxyzan/data2vec-pytorch","arxyzan","Python","185","False","False","2/2/2022 12:22:12 PM","2/15/2026 11:46:25 PM","PyTorch implementation of ""data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language"" from Meta AI","beit;data2vec;fairseq;huggingface;pytorch;roberta;self-supervised-learning;wav2vec","topic:beit language:Python stars:>=50"
"baichuan-inc/Baichuan-7B","https://github.com/baichuan-inc/Baichuan-7B","baichuan-inc","Python","5664","False","False","6/14/2023 10:57:51 AM","4/28/2026 5:51:28 AM","A large-scale 7B pretraining language model developed by BaiChuan-Inc.","artificial-intelligence;ceval;chatgpt;chinese;gpt-4;huggingface;large-language-models;llama;mmlu;natural-language-processing","large-scale language:Python stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160194","False","False","10/29/2018 1:56:00 PM","5/3/2026 7:44:38 AM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
"FlagAI-Open/FlagAI","https://github.com/FlagAI-Open/FlagAI","FlagAI-Open","Python","3875","False","False","5/16/2022 6:43:12 AM","4/29/2026 9:57:13 PM","FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model.","","large-scale language:Python stars:>=50"
"OpenBMB/UltraRAG","https://github.com/OpenBMB/UltraRAG","OpenBMB","Python","5532","False","False","1/16/2025 10:56:02 AM","5/2/2026 8:12:53 PM","[GitHub Trending #2] A Low-Code MCP Framework for Building Complex and Innovative RAG Pipelines","deepseek;demo;easy;embedding;flask;gpt;huggingface-transformers;llm;mcp;multimodal;openai;qwen;rag;sentence-transformers;ui;vllm;vlm","u language:Python stars:>=50"
"ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56692","False","False","9/11/2022 4:39:45 PM","5/3/2026 7:47:41 AM","Ultralytics YOLO 🚀","cli;computer-vision;deep-learning;hub;image-classification;instance-segmentation;machine-learning;object-detection;pose-estimation;python;pytorch;rotated-object-detection;segment-anything;tracking;ultralytics;yolo;yolo-world;yolo11;yolo26;yolov8","u language:Python stars:>=50"
"poloclub/diffusiondb","https://github.com/poloclub/diffusiondb","poloclub","Python","1376","False","False","10/10/2022 6:18:57 PM","4/28/2026 3:29:11 PM","A large-scale text-to-image prompt gallery dataset based on Stable Diffusion","ai-art;computer-vision;image-generation;prompt-engineering;stable-diffusion","large-scale language:Python stars:>=50"
"SonyResearch/micro_diffusion","https://github.com/SonyResearch/micro_diffusion","SonyResearch","Python","1570","False","False","7/16/2024 4:06:37 AM","4/30/2026 9:48:08 PM","Official repository for our work on micro-budget training of large-scale diffusion models.","","large-scale language:Python stars:>=50"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34682","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:12:48 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"Maciek-roboblog/Claude-Code-Usage-Monitor","https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor","Maciek-roboblog","Python","7886","False","False","6/19/2025 12:00:05 AM","5/3/2026 8:05:47 AM","Real-time Claude Code usage monitor with predictions and warnings","ai;analytics;claude;claude-code;claude-usage;limits;monitoring;terminal;usage-tracking","u language:Python stars:>=50"
"OpenDriveLab/UniAD","https://github.com/OpenDriveLab/UniAD","OpenDriveLab","Python","4591","False","False","12/7/2022 8:05:49 AM","5/2/2026 12:36:14 PM","[CVPR 2023 Best Paper Award] Planning-oriented Autonomous Driving","autonomous-driving;autonomous-driving-framework;bev-segmentation;end-to-end-autonomous-driving;motion-planning;motion-prediction;multi-object-tracking;occupancy-prediction;perception-prediction-planning","u language:Python stars:>=50"
"robocasa/robocasa","https://github.com/robocasa/robocasa","robocasa","Python","1369","False","False","5/11/2024 11:14:03 AM","5/1/2026 1:32:25 AM","RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots","humanoid-robot;physics-simulation;robot-learning;robotics","large-scale language:Python stars:>=50"
"Zipstack/unstract","https://github.com/Zipstack/unstract","Zipstack","Python","6557","False","False","2/21/2024 10:34:33 AM","5/3/2026 8:12:47 AM","LLM-Driven Extraction of Unstructured Data — Built for API Deployments & ETL Pipeline Workflows","api-deployments;data-extraction;document-processing;etl-pipelines;open-source-data-pipeline;unstructured-data-extraction","u language:Python stars:>=50"
"OpenGVLab/InternImage","https://github.com/OpenGVLab/InternImage","OpenGVLab","Python","2817","False","False","11/10/2022 9:24:57 AM","4/30/2026 8:49:18 AM","[CVPR 2023 Highlight] InternImage: Exploring Large-Scale Vision Foundation Models with Deformable Convolutions","backbone;deformable-convolution;foundation-model;object-detection;semantic-segmentation","large-scale language:Python stars:>=50"
"khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34361","False","False","8/16/2021 1:48:44 AM","5/3/2026 7:12:14 AM","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.","agent;ai;assistant;chat;chatgpt;emacs;image-generation;llama3;llamacpp;llm;obsidian;obsidian-md;offline-llm;productivity;rag;research;self-hosted;semantic-search;stt;whatsapp-ai","topic:llm stars:>=100"
"milesial/Pytorch-UNet","https://github.com/milesial/Pytorch-UNet","milesial","Python","11420","False","False","8/16/2017 12:17:08 PM","5/3/2026 8:19:14 AM","PyTorch implementation of the U-Net for image semantic segmentation with high quality images","convolutional-networks;convolutional-neural-networks;deep-learning;kaggle;pytorch;pytorch-unet;semantic-segmentation;tensorboard;unet;wandb;weights-and-biases","u language:Python stars:>=50"
"deepseek-ai/Engram","https://github.com/deepseek-ai/Engram","deepseek-ai","Python","4366","False","False","1/12/2026 5:26:50 AM","5/3/2026 7:49:33 AM","Conditional Memory via Scalable Lookup: A New Axis of Sparsity for Large Language Models","","large-scale language:Python stars:>=50"
"shareAI-lab/learn-claude-code","https://github.com/shareAI-lab/learn-claude-code","shareAI-lab","TypeScript","57865","False","False","6/29/2025 3:34:15 PM","5/3/2026 8:22:08 AM","Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1","agent;agent-development;ai-agent;claude;claude-code;educational;llm;python;teaching;tutorial","topic:llm stars:>=100"
"upstash/context7","https://github.com/upstash/context7","upstash","TypeScript","54325","False","False","3/26/2025 11:40:39 PM","5/3/2026 8:12:50 AM","Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors","llm;mcp;mcp-server;vibe-coding","topic:llm stars:>=100"
"FedML-AI/FedML","https://github.com/FedML-AI/FedML","FedML-AI","Python","4043","False","False","7/21/2020 10:41:25 PM","4/29/2026 9:56:22 PM","FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, TensorOpera AI (https://TensorOpera.ai) is your generative AI platform at scale.","ai-agent;deep-learning;distributed-training;edge-ai;federated-learning;inference-engine;machine-learning;mlops;model-deployment;model-serving;on-device-training","large-scale language:Python stars:>=50"
"Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","183949","False","False","3/16/2023 9:21:07 AM","5/3/2026 8:09:21 AM","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","agentic-ai;agents;ai;artificial-intelligence;autonomous-agents;claude;gpt;llama-api;llm;openai;python","topic:llm stars:>=100"
"open-mmlab/mmpretrain","https://github.com/open-mmlab/mmpretrain","open-mmlab","Python","3842","False","False","7/9/2020 4:25:04 PM","4/30/2026 6:39:19 PM","OpenMMLab Pre-training Toolbox and Benchmark","beit;clip;constrastive-learning;convnext;deep-learning;image-classification;mae;masked-image-modeling;mobilenet;moco;multimodal;pretrained-models;pytorch;resnet;self-supervised-learning;swin-transformer;vision-transformer","topic:beit language:Python stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:53:36 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"lmcinnes/umap","https://github.com/lmcinnes/umap","lmcinnes","Python","8166","False","False","7/2/2017 1:11:17 AM","5/2/2026 12:59:23 AM","Uniform Manifold Approximation and Projection","dimensionality-reduction;machine-learning;topological-data-analysis;umap;visualization","u language:Python stars:>=50"
"NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent","NousResearch","Python","130196","False","False","7/22/2025 10:22:28 PM","5/3/2026 8:22:42 AM","The agent that grows with you","ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;clawdbot;codex;hermes;hermes-agent;llm;moltbot;nous-research;openai;openclaw","topic:llm stars:>=100"
"ustcwhy/BitVLA","https://github.com/ustcwhy/BitVLA","ustcwhy","Python","147","False","False","6/9/2025 7:24:27 AM","4/24/2026 3:27:09 PM","Official implementation for BitVLA: 1-bit Vision-Language-Action Models for Robotics Manipulation","1-bit;bitnet;bitnet-llm;bitvla;multimodal-large-language-models;robotics","topic:bitnet language:Python stars:>=50"
"browser-use/browser-use","https://github.com/browser-use/browser-use","browser-use","Python","91768","False","False","10/31/2024 4:00:56 PM","5/3/2026 8:12:49 AM","🌐 Make websites accessible for AI agents. Automate tasks online with ease.","ai-agents;ai-tools;browser-automation;browser-use;llm;playwright;python","u language:Python stars:>=50 | topic:llm stars:>=100"
"OpenDriveLab/AgiBot-World","https://github.com/OpenDriveLab/AgiBot-World","OpenDriveLab","Python","2936","False","False","12/9/2024 2:35:58 AM","4/30/2026 8:58:28 AM","[IROS 2025 Best Paper Award Finalist & IEEE TRO 2026] The Large-scale Manipulation Platform for Scalable and Intelligent Embodied Systems","pretraining-for-robotics;robotic-foundation-model;robotic-manipulation;vision-language-action-model","large-scale language:Python stars:>=50"
"NVIDIA-NeMo/NeMo","https://github.com/NVIDIA-NeMo/NeMo","NVIDIA-NeMo","Python","17163","False","False","8/5/2019 8:16:42 PM","5/3/2026 7:37:55 AM","A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","asr;deeplearning;generative-ai;machine-translation;neural-networks;speaker-diariazation;speaker-recognition;speech-synthesis;speech-translation;tts","large-scale language:Python stars:>=50"
"ecthros/uncaptcha2","https://github.com/ecthros/uncaptcha2","ecthros","Python","4930","False","False","12/31/2018 5:15:07 PM","4/20/2026 1:22:04 PM","defeating the latest version of ReCaptcha with 91% accuracy","","u language:Python stars:>=50"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50808","False","False","4/5/2026 1:12:07 AM","5/3/2026 8:19:05 AM","The best-benchmarked open-source AI memory system. And it's free.","ai;chromadb;llm;mcp;memory;python","topic:llm stars:>=100"
"alibaba/ROLL","https://github.com/alibaba/ROLL","alibaba","Python","3122","False","False","5/28/2025 11:27:18 AM","5/2/2026 5:47:10 AM","An Efficient and User-Friendly Scaling Library for Reinforcement Learning with Large Language Models","agentic;rlhf;rlvr","large-scale language:Python stars:>=50"
"mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54636","False","False","6/20/2023 8:58:36 AM","5/3/2026 8:20:12 AM","Universal memory layer for AI Agents","agents;ai;ai-agents;application;chatbots;chatgpt;genai;llm;long-term-memory;memory;memory-management;python;rag;state-management","topic:llm stars:>=100"
