"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"nikhilk/node-tensorflow","https://github.com/nikhilk/node-tensorflow","nikhilk","JavaScript","588","False","False","11/10/2015 7:04:49 AM","4/7/2026 6:11:42 AM","Node.js + TensorFlow","deep-learning;javascript;machine-learning;node-tensorflow;nodejs;npm-package;tensorflow","topic:deep-learning language:JavaScript stars:>=50"
"afonsopacifer/react-pomodoro","https://github.com/afonsopacifer/react-pomodoro","afonsopacifer","JavaScript","398","False","False","4/21/2016 7:41:31 PM","1/19/2026 3:41:10 PM",":alarm_clock: Pomodoro timer built with ReactJS.","","alarm language:JavaScript stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160179","False","False","10/29/2018 1:56:00 PM","5/2/2026 5:39:27 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:deep-learning stars:>=100"
"google-ai-edge/mediapipe","https://github.com/google-ai-edge/mediapipe","google-ai-edge","C++","35036","False","False","6/13/2019 7:16:41 PM","5/2/2026 2:41:15 PM","Cross-platform, customizable ML solutions for live and streaming media.","android;audio-processing;c-plus-plus;calculator;computer-vision;deep-learning;framework;graph-based;graph-framework;inference;machine-learning;mediapipe;mobile-development;perception;pipeline-framework;stream-processing;video-processing","topic:deep-learning stars:>=100"
"zen-browser/desktop","https://github.com/zen-browser/desktop","zen-browser","JavaScript","41792","False","False","3/28/2024 12:05:55 AM","5/2/2026 3:52:24 PM","Welcome to a calmer internet","firefox;firefox-based;firefox-browser;zen-browser","d language:JavaScript stars:>=50"
"sumn2u/annotate-lab","https://github.com/sumn2u/annotate-lab","sumn2u","JavaScript","125","False","False","5/25/2024 9:07:07 PM","4/28/2026 8:47:45 AM","Annotate-lab is an open-source image annotation tool for efficient dataset creation. With an intuitive interface and flexible export options, it streamlines your machine learning workflow. 🖼️✏️📑","annotation-tool;classification;collaborate;computer-vision;image-annotation;image-labeling;image-masking;image-segmentation;machine-learning;python;react;segmentation","topic:computer-vision language:JavaScript stars:>=50"
"lucylow/Deep-Learning-Mahjong---","https://github.com/lucylow/Deep-Learning-Mahjong---","lucylow","JavaScript","99","False","False","6/29/2019 5:35:01 PM","12/11/2025 12:15:28 PM","Reinforcement learning (RL) implementation of imperfect information game Mahjong using markov decision processes to predict future game states","battle-mahjong;computer-vision;deep-learning-mahjong;deep-neural-network;deep-q-network;game-development;game-play;game-theory;mahjong;markov-chain;markov-model;nlp;npc-generator;reactjs;reinforcement;reinforcement-learning;softmax;supervised-learning;supervised-machine-learning;tensorflow","topic:computer-vision language:JavaScript stars:>=50"
"openai/CLIP","https://github.com/openai/CLIP","openai","Jupyter Notebook","33384","False","False","12/16/2020 11:24:42 AM","5/2/2026 4:22:49 PM","CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","deep-learning;machine-learning","topic:deep-learning stars:>=100"
"CSAILVision/LabelMeAnnotationTool","https://github.com/CSAILVision/LabelMeAnnotationTool","CSAILVision","JavaScript","1462","False","False","6/26/2012 5:40:23 PM","4/16/2026 3:44:14 AM","Source code for the LabelMe annotation tool.","annotation;computer-vision","topic:computer-vision language:JavaScript stars:>=50"
"mailcow/mailcow-dockerized","https://github.com/mailcow/mailcow-dockerized","mailcow","JavaScript","12672","False","False","12/9/2016 7:38:35 PM","5/2/2026 4:57:05 PM","mailcow: dockerized - 🐮 + 🐋 = 💕","acme;clamav;docker;docker-compose;dovecot;groupware;hacktoberfest;imap;mail;mailcow;mailserver;olefy;postfix;rspamd;servercow;smtp;sogo","d language:JavaScript stars:>=50"
"riju/WebCamera","https://github.com/riju/WebCamera","riju","JavaScript","274","False","False","11/26/2018 4:10:36 PM","11/29/2025 11:36:23 PM","Camera controls for the Web","camera-controls;computer-vision;demos;getusermedia;hdr;hdr-image;opencv;opencv-js;webrtc","topic:computer-vision language:JavaScript stars:>=50"
"graphql/dataloader","https://github.com/graphql/dataloader","graphql","JavaScript","13387","False","False","9/10/2015 10:05:23 AM","5/1/2026 2:39:57 PM","DataLoader is a generic utility to be used as part of your application's data fetching layer to provide a consistent API over various backends and reduce requests to those backends via batching and caching.","batch;dataloader;graphql;nodejs","d language:JavaScript stars:>=50"
"trekhleb/nano-neuron","https://github.com/trekhleb/nano-neuron","trekhleb","JavaScript","2270","False","False","12/5/2019 7:54:21 AM","4/18/2026 3:42:08 PM","🤖 NanoNeuron is 7 simple JavaScript functions that will give you a feeling of how machines can actually ""learn""","artificial-intelligence;javascript;machine-learning;machine-learning-algorithms;machinelearning","topic:artificial-intelligence language:JavaScript stars:>=50"
