"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34116","False","False","4/9/2024 10:51:32 AM","5/3/2026 8:54:43 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"KudoAI/duckduckgpt","https://github.com/KudoAI/duckduckgpt","KudoAI","JavaScript","270","False","False","3/1/2023 3:35:55 PM","4/30/2026 8:42:55 AM","🐤 AI chat & search summaries in DuckDuckGo, powered by the latest LLMs","ai;artificial-intelligence;bot;chatbot;chatgpt;duckduckgo;gpt;gpt-5;greasemonkey;javascript;kudoai;machine-learning;nlp;openai;search;userscripts;web","topic:chatbot language:JavaScript stars:>=50"
"inulute/simplexity-ai-app","https://github.com/inulute/simplexity-ai-app","inulute","JavaScript","622","False","False","7/28/2023 10:37:46 AM","4/30/2026 2:22:34 PM","Community-driven P-lexity AI desktop app powered by Electron, bringing powerful AI language intelligence straight to your desktop.","ai;chatbot;electron;electron-app;javascript;meta;perplexity;perplexity-ai","topic:chatbot language:JavaScript stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42339","False","False","8/17/2023 2:17:10 AM","5/3/2026 7:32:55 AM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34683","False","False","10/2/2024 11:57:54 AM","5/3/2026 8:45:54 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"LucasBassetti/react-simple-chatbot","https://github.com/LucasBassetti/react-simple-chatbot","LucasBassetti","JavaScript","1757","False","False","4/14/2017 1:53:10 AM","4/3/2026 10:47:32 PM",":speech_balloon: Easy way to create conversation chats","chat;chatbot;conversational-ui;react","topic:chatbot language:JavaScript stars:>=50"
"wekan/wekan","https://github.com/wekan/wekan","wekan","JavaScript","20916","False","False","1/21/2014 1:26:28 AM","5/2/2026 7:30:06 PM","The Open Source kanban, built with Meteor. GitHub issues/PRs are only for FLOSS Developers, not for support, support is at https://wekan.fi/commercial-support/ . New English strings for new features at imports/i18n/data/en.i18n.json . Non-English translations at https://app.transifex.com/wekan/wekan only.","docker-image;foss;javascript;kanban;meteor;real-time;sandstorm;snapcraft;wekan","developer language:JavaScript stars:>=50"
"chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","False","False","3/31/2023 12:12:45 PM","5/3/2026 4:53:36 AM","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","chatbot;chatchat;chatglm;chatgpt;embedding;faiss;fastchat;gpt;knowledge-base;langchain;langchain-chatglm;llama;llm;milvus;ollama;qwen;rag;retrieval-augmented-generation;streamlit;xinference","topic:llm stars:>=100"
"MarketingPipeline/Termino.js","https://github.com/MarketingPipeline/Termino.js","MarketingPipeline","JavaScript","647","False","False","12/6/2022 7:06:33 AM","4/24/2026 6:13:51 AM","Create a web based terminal on any website - great for games, animations and real world apps!","browser;browser-game;chatbot;cli;client-side;command-line;command-line-app;command-line-interpreter;console;console-application;frontend;javascript;shell;ssh;terminal;terminal-emulator;terminal-emulators;text-based-game;text-user-interface;web-terminal","topic:chatbot language:JavaScript stars:>=50"
"jklepatch/eattheblocks","https://github.com/jklepatch/eattheblocks","jklepatch","JavaScript","3991","False","False","11/1/2017 7:43:11 AM","4/20/2026 2:00:32 AM","Source code for Eat The Blocks, a screencast for Ethereum Dapp Developers","blockchain;ethereum;screencast-series;solidity;truffle;truffle-framework;tutorial;web3","developer language:JavaScript stars:>=50"
"Peekobot/peekobot","https://github.com/Peekobot/peekobot","Peekobot","JavaScript","310","False","False","11/27/2019 8:16:03 PM","4/1/2026 4:35:23 PM","A simple, choice-driven chatbot framework for your website written in just over 100 lines of vanilla JavaScript (and some CSS)","chatbot;javascript","topic:chatbot language:JavaScript stars:>=50"
"jordanthomas/jaro-winkler","https://github.com/jordanthomas/jaro-winkler","jordanthomas","JavaScript","84","False","False","2/6/2015 2:50:33 AM","2/7/2026 11:59:26 AM","The Jaro-Winkler distance metric for node and browser.","","wink language:JavaScript stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172292","False","False","1/18/2026 12:51:51 AM","5/3/2026 8:55:52 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139926","False","False","4/12/2023 7:40:24 AM","5/3/2026 8:37:50 AM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"Pixelkit/PixelKit-Bootstrap-UI-Kits","https://github.com/Pixelkit/PixelKit-Bootstrap-UI-Kits","Pixelkit","JavaScript","4906","False","False","10/25/2013 3:01:53 PM","5/2/2026 11:57:49 AM","Free UI Kits built on Bootstrap for any developer that wants to build a cool looking and functional website. Enjoy!","","developer language:JavaScript stars:>=50"
"tmijs/tmi.js","https://github.com/tmijs/tmi.js","tmijs","JavaScript","1591","False","False","6/7/2015 10:42:32 PM","4/21/2026 10:42:42 AM","💬 Javascript library for the Twitch Messaging Interface. (Twitch.tv)","chat;chatbot;javascript;nodejs;tmi;tmijs;twitch;twitchdev","topic:chatbot language:JavaScript stars:>=50"
"jackdh/RasaTalk","https://github.com/jackdh/RasaTalk","jackdh","JavaScript","303","False","False","6/25/2018 9:20:20 PM","3/31/2026 11:25:00 PM","A chatbot framework for Rasa NLU","bot;botkit;bots;chatbot;chatbot-framework;conversational-ai;nlp;nodejs;rasa;rasa-nlu;react","topic:chatbot language:JavaScript stars:>=50"
"thetarnav/streaming-markdown","https://github.com/thetarnav/streaming-markdown","thetarnav","JavaScript","372","False","False","2/10/2024 7:50:16 PM","4/28/2026 7:42:24 AM","🔴Ⓜ️⬇️ Streaming markdown à la ChatGPT (WIP)","chatbot;html;js;markdown;parser","topic:chatbot language:JavaScript stars:>=50"
