"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"predibase/lorax","https://github.com/predibase/lorax","predibase","Python","3771","False","False","10/20/2023 6:19:49 PM","5/1/2026 6:07:40 AM","Multi-LoRA inference server that scales to 1000s of fine-tuned LLMs","fine-tuning;gpt;llama;llm;llm-inference;llm-serving;llmops;lora;model-serving;pytorch;transformers","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50"
"IntelLabs/RAG-FiT","https://github.com/IntelLabs/RAG-FiT","IntelLabs","Python","769","False","False","7/23/2024 1:20:35 PM","4/2/2026 7:16:30 AM","Framework for enhancing LLMs for RAG tasks using fine-tuning.","evaluation;fine-tuning;information-retrieval;llm;nlp;question-answering;rag;semantic-search","topic:fine-tuning language:Python stars:>=50"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50"
"X-D-Lab/LangChain-ChatGLM-Webui","https://github.com/X-D-Lab/LangChain-ChatGLM-Webui","X-D-Lab","Python","3311","False","False","4/10/2023 6:09:01 AM","5/2/2026 1:34:34 PM","基于LangChain和ChatGLM-6B等系列LLM的针对本地知识库的自动问答","belle;bilibili;chatglm-6b;chatglm-webui;jina;langchain;langchain-serve;llama;llm;minimax;modelscope","topic:llama language:Python stars:>=50"
"om-ai-lab/OmAgent","https://github.com/om-ai-lab/OmAgent","om-ai-lab","Python","2640","False","False","7/4/2024 5:48:43 PM","4/23/2026 8:46:58 AM","[EMNLP-2024] Build multimodal language agents for fast prototype and production","agent;chatbot;gemini;gpt;gpt4;gradio;language-agent;large-language-models;llama;llava;llm;multimodal;multimodal-agent;openai;python;rag;smart-hardware;vision-and-language;vlm;workflow","topic:llama language:Python stars:>=50"
"georgian-io/LLM-Finetuning-Toolkit","https://github.com/georgian-io/LLM-Finetuning-Toolkit","georgian-io","Python","872","False","False","7/24/2023 2:22:42 PM","4/23/2026 11:24:24 AM","Toolkit for fine-tuning, ablating and unit-testing open-source LLMs.","ablation-study;classification;falcon;fine-tuning;finetuning;flan-t5;large-language-models;llama2;llm-test;lora;mistral-7b;nlp;nlp-machine-learning;qlora;redpajama;summarization;unit-testing;zephyr","topic:fine-tuning language:Python stars:>=50"
"hiroi-sora/Umi-OCR","https://github.com/hiroi-sora/Umi-OCR","hiroi-sora","Python","43857","False","False","3/28/2022 4:01:46 AM","5/3/2026 3:54:02 AM","OCR software, free and offline. 开源、免费的离线OCR软件。支持截屏/批量导入图片，PDF文档识别，排除水印/页眉页脚，扫描/生成二维码。内置多国语言库。","ocr;ocr-python;paddleocr;qml;qt;screenshot;umi-ocr","o language:Python stars:>=50"
"skypilot-org/skypilot","https://github.com/skypilot-org/skypilot","skypilot-org","Python","9924","False","False","8/11/2021 11:32:15 PM","5/3/2026 3:12:12 AM","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, Slurm, 20+ clouds, on-prem).","cloud-computing;cloud-management;cost-optimization;deep-learning;distributed-training;gpu;hyperparameter-tuning;job-queue;job-scheduler;llm-serving;llm-training;machine-learning;ml-infrastructure;ml-platform;mlops;multicloud;slurm;spot-instances;tpu","run language:Python stars:>=50"
"dbiir/UER-py","https://github.com/dbiir/UER-py","dbiir","Python","3105","False","False","4/10/2019 12:00:20 PM","4/29/2026 7:42:54 AM","Open Source Pre-training Model Framework in PyTorch & Pre-trained Model Zoo","albert;bart;bert;chinese;classification;clue;elmo;fine-tuning;gpt;gpt-2;model-zoo;natural-language-processing;ner;pegasus;pre-training;pytorch;roberta;t5;unilm;xlm-roberta","topic:fine-tuning language:Python stars:>=50"
"nicedreamzapp/claude-code-local","https://github.com/nicedreamzapp/claude-code-local","nicedreamzapp","Python","2403","False","False","3/26/2026 6:43:30 AM","5/3/2026 4:41:22 AM","Run Claude Code 100% on-device with local AI on Apple Silicon. MLX-native Anthropic-API server, 65 tok/s Qwen 3.5 122B, Llama 3.3 70B, Gemma 4 31B. Private, offline, airgap-ready. Built for NDA / legal / healthcare workflows.","abliterated;ai-privacy;airgap;ambient-computing;anthropic;apple-silicon;browser-agent;claude-code;gemma;llama;local-ai;local-llm;macos;mlx;mlx-lm;offline-ai;on-device-ai;private-ai;qwen;voice-ai","run language:Python stars:>=50"
"lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16356","False","False","12/11/2020 4:35:13 PM","5/3/2026 2:45:27 AM","pix2tex: Using a ViT to convert images of equations into LaTeX code.","dataset;deep-learning;im2latex;im2markup;im2text;image-processing;image2text;latex;latex-ocr;machine-learning;math-ocr;ocr;python;pytorch;transformer;vision-transformer;vit","o language:Python stars:>=50"
